City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
148,gizo,SB,2022-05-27 04:15:01,-8.103,156.8419,84.29,70,73,7.78,broken clouds,0.0,0
149,kokkola,FI,2022-05-27 04:15:02,63.8385,23.1307,48.36,93,75,2.3,broken clouds,0.0,0
150,ponta do sol,PT,2022-05-27 04:15:02,32.6667,-17.1,65.03,72,94,2.01,overcast clouds,0.0,0
151,polson,US,2022-05-27 04:15:03,47.6936,-114.1632,60.22,68,100,3.91,overcast clouds,0.0,0
152,souillac,MU,2022-05-27 04:15:04,-20.5167,57.5167,68.38,88,20,4.61,few clouds,0.0,0
153,kurya,RU,2022-05-27 04:15:05,51.6003,82.2888,78.82,50,0,4.34,clear sky,0.0,0
154,najran,SA,2022-05-27 04:15:06,17.4924,44.1277,80.19,14,0,1.66,clear sky,0.0,0
155,urengoy,RU,2022-05-27 04:15:06,65.9667,78.3667,57.58,31,20,12.46,few clouds,0.0,0
156,olinda,BR,2022-05-27 04:15:07,-8.0089,-34.8553,80.33,78,40,9.22,scattered clouds,0.0,0
157,miles city,US,2022-05-27 04:14:10,46.4083,-105.8406,65.37,48,0,6.91,clear sky,0.0,0
158,saint-jovite,CA,2022-05-27 04:15:07,46.1186,-74.5966,62.44,99,100,0.0,overcast clouds,0.0,0
159,beloha,MG,2022-05-27 04:15:08,-25.1667,45.05,65.19,88,13,2.51,few clouds,0.0,0
160,mount gambier,AU,2022-05-27 04:10:59,-37.8333,140.7667,60.87,58,98,7.76,overcast clouds,0.0,0
161,ocala,US,2022-05-27 04:10:34,29.1872,-82.1401,77.99,67,0,5.75,clear sky,0.0,0
162,helong,CN,2022-05-27 04:15:09,42.5397,128.9972,52.12,84,100,1.32,light rain,0.0,0
163,saskylakh,RU,2022-05-27 04:15:09,71.9167,114.0833,32.49,92,100,10.36,overcast clouds,0.0,0
164,samfya,ZM,2022-05-27 04:15:09,-11.3649,29.5565,56.1,74,0,5.14,clear sky,0.0,0
165,moree,AU,2022-05-27 04:15:10,-29.4667,149.85,69.96,50,5,1.54,clear sky,0.0,0
166,kalmunai,LK,2022-05-27 04:15:10,7.4167,81.8167,85.28,64,42,2.3,scattered clouds,0.0,0
167,lorengau,PG,2022-05-27 04:15:11,-2.0226,147.2712,83.07,74,90,7.43,overcast clouds,0.0,0
168,grindavik,IS,2022-05-27 04:15:11,63.8424,-22.4338,42.75,93,0,12.66,clear sky,0.0,0
169,requena,ES,2022-05-27 04:15:11,39.4883,-1.1004,53.53,62,0,3.62,clear sky,0.0,0
170,port elizabeth,ZA,2022-05-27 04:15:12,-33.918,25.5701,53.31,94,0,4.61,clear sky,0.0,0
171,giyani,ZA,2022-05-27 04:15:12,-23.3025,30.7187,64.8,85,99,5.32,overcast clouds,0.0,0
172,omboue,GA,2022-05-27 04:15:13,-1.5746,9.2618,73.89,90,99,7.36,overcast clouds,0.0,0
173,nemuro,JP,2022-05-27 04:15:13,43.3236,145.575,52.54,87,92,17.22,heavy intensity rain,0.0,0
